
16时00分18秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时17分18秒     0      2403         -    0.00    0.20    0.00    0.00    0.20     3  top
16时17分18秒     0         -      2403    0.00    0.20    0.00    0.00    0.20     3  |__top
16时17分18秒     0      4405         -    3.80    0.60    0.00    0.00    4.40     0  svm
16时17分18秒     0         -      4413    0.20    0.20    0.00    0.00    0.40     0  |__upload_info
16时17分18秒     0         -      4420    3.60    0.40    0.00    0.00    4.00     0  |__lsm

16时17分18秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时17分23秒     0         5         -    0.00    0.20    0.00    0.00    0.20     2  kworker/u8:0
16时17分23秒     0         -         5    0.00    0.20    0.00    0.00    0.20     2  |__kworker/u8:0
16时17分23秒     0         8         -    0.00    0.20    0.00    0.00    0.20     0  rcu_preempt
16时17分23秒     0         -         8    0.00    0.20    0.00    0.00    0.20     0  |__rcu_preempt
16时17分23秒     0         9         -    0.00    0.20    0.00    0.00    0.20     3  rcu_sched
16时17分23秒     0        30         -    0.00    0.20    0.00    0.00    0.20     0  kworker/0:1
16时17分23秒     0         -        30    0.00    0.20    0.00    0.00    0.20     0  |__kworker/0:1
16时17分23秒     0       114         -    0.00    0.20    0.00    0.00    0.20     2  mmcqd/0
16时17分23秒     0         -       114    0.00    0.20    0.00    0.00    0.20     2  |__mmcqd/0
16时17分23秒     0       329         -    0.00    0.20    0.00    0.00    0.20     3  bopt
16时17分23秒     0         -       329    0.00    0.20    0.00    0.00    0.20     3  |__bopt
16时17分23秒     0       615         -    2.40    2.40    0.00    0.00    4.80     0  resnet50
16时17分23秒     0         -       701    2.60    2.40    0.00    0.00    5.00     1  |__resnet50-1
16时17分23秒     0       636         -    0.00    0.20    0.00    0.00    0.20     2  statusd
16时17分23秒     0         -       636    0.20    0.20    0.00    0.00    0.40     2  |__statusd
16时17分23秒     0       684       684    0.00    0.20    0.00    0.00    0.20     3  (rss)__rss
16时17分23秒     0       691         -    2.40    5.00    0.00    0.00    7.40     2  cnn
16时17分23秒     0         -       691    0.00    0.20    0.00    0.00    0.20     2  |__cnn
16时17分23秒     0         -       693    0.20    0.00    0.00    0.00    0.20     0  |__cnn
16时17分23秒     0         -       694    0.00    0.60    0.00    0.00    0.60     0  |__cnn
16时17分23秒     0         -       705    0.60    0.40    0.00    0.00    1.00     0  |__cnn
16时17分23秒     0         -       706    0.20    0.40    0.00    0.00    0.60     0  |__cnn
16时17分23秒     0         -       707    0.60    1.60    0.00    0.00    2.20     0  |__cnn
16时17分23秒     0         -       708    0.60    0.40    0.00    0.00    1.00     0  |__cnn
16时17分23秒     0         -       856    0.20    0.20    0.00    0.00    0.40     0  |__cnn
16时17分23秒     0         -       857    0.20    0.80    0.00    0.00    1.00     0  |__cnn-1
16时17分23秒     0       719         -  138.60    6.60    0.00    0.00  145.20     1  rnn
16时17分23秒     0         -       731    0.60    1.40    0.00    0.00    2.00     3  |__glog
16时17分23秒     0         -       732    0.20    0.00    0.00    0.00    0.20     0  |__fast-rnn
16时17分23秒     0         -       733   10.00    1.00    0.00    0.00   11.00     0  |__cnn-1
16时17分23秒     0         -       737    6.40    0.20    0.00    0.00    6.60     1  |__mc
16时17分23秒     0         -       738    2.60    0.60    0.00    0.00    3.20     3  |__fast-rnn
16时17分23秒     0         -       739    7.40    0.00    0.00    0.00    7.40     3  |__fast-rnn
16时17分23秒     0         -       740    3.80    0.20    0.00    0.00    4.00     3  |__fast-rnn
16时17分23秒     0         -       741    0.00    0.20    0.00    0.00    0.20     3  |__fast-rnn
16时17分23秒     0         -       743    7.20    0.20    0.00    0.00    7.40     3  |__fast-rnn
16时17分23秒     0         -       744   11.80    0.40    0.00    0.00   12.20     3  |__fast-rnn
16时17分23秒     0         -       745   11.60    0.40    0.00    0.00   12.00     3  |__fast-rnn
16时17分23秒     0         -       746    8.80    0.80    0.00    0.00    9.60     3  |__fast-rnn
16时17分23秒     0         -       747    3.00    0.20    0.00    0.00    3.20     3  |__fast-rnn
16时17分23秒     0         -       749   40.40    0.20    0.00    0.00   40.60     1  |__rnn
16时17分23秒     0         -       750    0.40    0.00    0.00    0.00    0.40     1  |__rnn
16时17分23秒     0         -       752    1.00    0.40    0.00    0.00    1.40     2  |__rnn
16时17分23秒     0         -       753    0.20    0.20    0.00    0.00    0.40     2  |__rnn
16时17分23秒     0         -       754    0.80    0.00    0.00    0.00    0.80     2  |__rnn
16时17分23秒     0         -       760   19.40    0.20    0.00    0.00   19.60     2  |__rnn
16时17分23秒     0         -       761    2.00    0.20    0.00    0.00    2.20     0  |__rnn
16时17分23秒     0         -       805    0.20    0.00    0.00    0.00    0.20     2  |__rnn
16时17分23秒     0       759         -    0.40    1.00    0.00    0.00    1.40     0  bm
16时17分23秒     0         -       764    0.20    0.00    0.00    0.00    0.20     0  |__show_me_money
16时17分23秒     0         -       766    0.20    0.80    0.00    0.00    1.00     0  |__cnn-1
16时17分23秒     0         -       773    0.20    0.00    0.00    0.00    0.20     0  |__bm
16时17分23秒     0       788         -    0.40    1.20    0.00    0.00    1.60     0  rbm
16时17分23秒     0         -       791    0.20    0.80    0.00    0.00    1.00     0  |__cnn-1
16时17分23秒     0         -       793    0.00    0.20    0.00    0.00    0.20     0  |__rbm
16时17分23秒     0         -       797    0.00    0.20    0.00    0.00    0.20     0  |__rbm
16时17分23秒     0         -       801    0.20    0.40    0.00    0.00    0.60     0  |__sae
16时17分23秒     0       829         -    0.20    0.00    0.00    0.00    0.20     0  vae
16时17分23秒     0       840         -    1.40    1.00    0.00    0.00    2.40     0  dae
16时17分23秒     0         -       849    1.40    1.00    0.00    0.00    2.40     0  |__cnn-1
16时17分23秒     0       855         -    5.20    1.80    0.00    0.00    7.00     0  dbn
16时17分23秒     0         -       883    0.40    0.20    0.00    0.00    0.60     0  |__dn
16时17分23秒     0         -       892    2.20    0.20    0.00    0.00    2.40     0  |__aac_encode
16时17分23秒     0         -       893    1.00    0.20    0.00    0.00    1.20     0  |__pcm
16时17分23秒     0         -       895    1.40    0.80    0.00    0.00    2.20     0  |__cnn-1
16时17分23秒     0         -       915    0.00    0.20    0.00    0.00    0.20     0  |__show_me_money
16时17分23秒     0         -      5306    0.00    0.20    0.00    0.00    0.20     0  |__ntm
16时17分23秒     0       914         -    0.60    0.40    0.00    0.00    1.00     0  birnn
16时17分23秒     0         -       921    0.00    0.40    0.00    0.00    0.40     0  |__echw
16时17分23秒     0         -       922    0.20    0.00    0.00    0.00    0.20     0  |__esn
16时17分23秒     0         -       923    0.20    0.20    0.00    0.00    0.40     0  |__elm
16时17分23秒     0      2151         -    0.00    0.20    0.00    0.00    0.20     2  kworker/u8:2
16时17分23秒     0         -      2151    0.00    0.20    0.00    0.00    0.20     2  |__kworker/u8:2
16时17分23秒     0      2371         -    0.40    1.20    0.00    0.00    1.60     2  pidstat
16时17分23秒     0         -      2371    0.40    1.20    0.00    0.00    1.60     2  |__pidstat
16时17分23秒     0      2403         -    0.00    0.20    0.00    0.00    0.20     3  top
16时17分23秒     0         -      2403    0.00    0.20    0.00    0.00    0.20     3  |__top
16时17分23秒     0      4405         -    3.80    0.80    0.00    0.00    4.60     0  svm
16时17分23秒     0         -      4413    0.20    0.40    0.00    0.00    0.60     0  |__upload_info
16时17分23秒     0         -      4417    0.20    0.00    0.00    0.00    0.20     0  |__show_me_money
16时17分23秒     0         -      4420    3.40    0.60    0.00    0.00    4.00     0  |__lsm

16时17分23秒   UID      TGID       TID    %usr %system  %guest   %wait    %CPU   CPU  Command
16时17分28秒     0         7         -    0.00    0.20    0.00    0.00    0.20     0  ksoftirqd/0
16时17分28秒     0         -         7    0.00    0.20    0.00    0.00    0.20     0  |__ksoftirqd/0
16时17分28秒     0         8         -    0.00    0.20    0.00    0.00    0.20     2  rcu_preempt
16时17分28秒     0         -         8    0.00    0.20    0.00    0.00    0.20     2  |__rcu_preempt
16时17分28秒     0        30         -    0.00    0.20    0.00    0.00    0.20     0  kworker/0:1
16时17分28秒     0         -        30    0.00    0.20    0.00    0.00    0.20     0  |__kworker/0:1
16时17分28秒     0       112         -    0.00    0.20    0.00    0.00    0.20     2  kworker/2:2
16时17分28秒     0         -       112    0.00    0.20    0.00    0.00    0.20     2  |__kworker/2:2
16时17分28秒     0       114         -    0.00    0.20    0.00    0.00    0.20     2  mmcqd/0
16时17分28秒     0         -       114    0.00    0.20    0.00    0.00    0.20     2  |__mmcqd/0
16时17分28秒     0       329         -    0.00    0.20    0.00    0.00    0.20     2  bopt
16时17分28秒     0         -       329    0.00    0.20    0.00    0.00    0.20     2  |__bopt
16时17分28秒     0       615         -    2.60    2.60    0.00    0.00    5.20     2  resnet50
16时17分28秒     0         -       701    2.40    2.60    0.00    0.00    5.00     3  |__resnet50-1
16时17分28秒     0       636         -    0.00    0.20    0.00    0.00    0.20     2  statusd
16时17分28秒     0       691         -    2.40    4.60    0.00    0.00    7.00     2  cnn
16时17分28秒     0         -       693    0.20    0.20    0.00    0.00    0.40     0  |__cnn
16时17分28秒     0         -       694    0.00    0.60    0.00    0.00    0.60     0  |__cnn
16时17分28秒     0         -       705    0.40    0.40    0.00    0.00    0.80     0  |__cnn
16时17分28秒     0         -       706    0.40    0.20    0.00    0.00    0.60     0  |__cnn
16时17分28秒     0         -       707    0.80    1.20    0.00    0.00    2.00     0  |__cnn
16时17分28秒     0         -       708    0.60    0.40    0.00    0.00    1.00     0  |__cnn
16时17分28秒     0         -       856    0.60    0.00    0.00    0.00    0.60     0  |__cnn
16时17分28秒     0         -       857    0.20    0.80    0.00    0.00    1.00     1  |__cnn-1
16时17分28秒     0       719         -  136.00    6.00    0.00    0.00  142.00     2  rnn
16时17分28秒     0         -       731    0.40    1.40    0.00    0.00    1.80     0  |__glog
16时17分28秒     0         -       732    0.20    0.20    0.00    0.00    0.40     0  |__fast-rnn
16时17分28秒     0         -       733   10.20    1.00    0.00    0.00   11.20     1  |__cnn-1
16时17分28秒     0         -       737    6.60    0.40    0.00    0.00    7.00     1  |__mc
16时17分28秒     0         -       738    2.40    0.20    0.00    0.00    2.60     3  |__fast-rnn
16时17分28秒     0         -       739    7.60    0.20    0.00    0.00    7.80     3  |__fast-rnn
16时17分28秒     0         -       740    4.00    0.00    0.00    0.00    4.00     3  |__fast-rnn
16时17分28秒     0         -       741    0.20    0.00    0.00    0.00    0.20     3  |__fast-rnn
16时17分28秒     0         -       743    7.00    0.20    0.00    0.00    7.20     3  |__fast-rnn
16时17分28秒     0         -       744   11.80    0.20    0.00    0.00   12.00     3  |__fast-rnn
16时17分28秒     0         -       745   12.00    0.40    0.00    0.00   12.40     3  |__fast-rnn
16时17分28秒     0         -       746    8.60    0.80    0.00    0.00    9.40     3  |__fast-rnn
16时17分28秒     0         -       747    3.20    0.20    0.00    0.00    3.40     3  |__fast-rnn
16时17分28秒     0         -       748    0.20    0.00    0.00    0.00    0.20     3  |__fast-rnn
16时17分28秒     0         -       749   37.60    0.00    0.00    0.00   37.60     1  |__rnn
16时17分28秒     0         -       750    0.40    0.00    0.00    0.00    0.40     1  |__rnn
16时17分28秒     0         -       752    1.00    0.20    0.00    0.00    1.20     2  |__rnn
16时17分28秒     0         -       753    0.00    0.20    0.00    0.00    0.20     2  |__rnn
16时17分28秒     0         -       754    1.00    0.00    0.00    0.00    1.00     2  |__rnn
16时17分28秒     0         -       760   18.80    0.20    0.00    0.00   19.00     2  |__rnn
16时17分28秒     0         -       761    2.00    0.00    0.00    0.00    2.00     0  |__rnn
16时17分28秒     0         -       805    0.20    0.20    0.00    0.00    0.40     2  |__rnn
